latitude,longitude,Emmisions
35.583041,-94.236224,GHG emissions mtons CO2e
35.211878,-90.315331,GHG emissions mtons CO2e
35.285692,-90.763984,GHG emissions mtons CO2e
33.967823,-92.653999,GHG emissions mtons CO2e
33.828752,-91.244103,GHG emissions mtons CO2e
33.587242,-91.722778,GHG emissions mtons CO2e
35.146286,-92.324711,GHG emissions mtons CO2e
35.508558,-93.887665,GHG emissions mtons CO2e
36.383619,-91.819664,GHG emissions mtons CO2e
34.578861,-93.146915,GHG emissions mtons CO2e
34.285568,-92.422979,GHG emissions mtons CO2e
36.120607,-90.566346,GHG emissions mtons CO2e
33.728611,-93.665809,GHG emissions mtons CO2e
34.315177,-92.944147,GHG emissions mtons CO2e
34.083064,-93.990931,GHG emissions mtons CO2e
35.737499,-91.559942,GHG emissions mtons CO2e
36.094879,-91.913625,GHG emissions mtons CO2e
35.596605,-91.223178,GHG emissions mtons CO2e
34.277695,-91.930701,GHG emissions mtons CO2e
35.573359,-93.466322,GHG emissions mtons CO2e
33.240629,-93.611514,GHG emissions mtons CO2e
36.041098,-91.101153,GHG emissions mtons CO2e
34.779858,-90.779345,GHG emissions mtons CO2e
33.957675,-91.727626,GHG emissions mtons CO2e
33.699497,-94.229774,GHG emissions mtons CO2e
35.218654,-93.72091,GHG emissions mtons CO2e
34.755114,-91.894132,GHG emissions mtons CO2e
36.012545,-93.724053,GHG emissions mtons CO2e
36.266672,-92.678567,GHG emissions mtons CO2e
33.305505,-93.901502,GHG emissions mtons CO2e
35.766943,-90.052209,GHG emissions mtons CO2e
34.679512,-91.20331,GHG emissions mtons CO2e
34.545581,-93.66333,GHG emissions mtons CO2e
33.666699,-93.305072,GHG emissions mtons CO2e
35.910742,-93.215899,GHG emissions mtons CO2e
33.59116,-92.878415,GHG emissions mtons CO2e
34.946363,-92.926877,GHG emissions mtons CO2e
34.423687,-90.855593,GHG emissions mtons CO2e
34.158191,-93.658659,GHG emissions mtons CO2e
35.56887,-90.681104,GHG emissions mtons CO2e
34.490915,-94.230884,GHG emissions mtons CO2e
35.456557,-93.026818,GHG emissions mtons CO2e
34.831116,-91.55362,GHG emissions mtons CO2e
34.770311,-92.312996,GHG emissions mtons CO2e
36.341298,-91.028441,GHG emissions mtons CO2e
35.014026,-90.742138,GHG emissions mtons CO2e
34.648525,-92.674463,GHG emissions mtons CO2e
34.858869,-94.063641,GHG emissions mtons CO2e
35.896387,-92.695888,GHG emissions mtons CO2e
35.196981,-94.274989,GHG emissions mtons CO2e
33.994877,-94.243279,GHG emissions mtons CO2e
36.173399,-91.471069,GHG emissions mtons CO2e
35.857031,-92.140573,GHG emissions mtons CO2e
33.168219,-92.598145,GHG emissions mtons CO2e
35.582953,-92.515976,GHG emissions mtons CO2e
35.971209,-94.218417,GHG emissions mtons CO2e
35.255118,-91.753034,GHG emissions mtons CO2e
35.192777,-91.244535,GHG emissions mtons CO2e
34.997713,-93.408303,GHG emissions mtons CO2e
37.647139,-121.912488,GHG emissions mtons CO2e
38.621783,-119.798352,GHG emissions mtons CO2e
38.44355,-120.653856,GHG emissions mtons CO2e
39.665959,-121.601919,GHG emissions mtons CO2e
38.1839,-120.561441,GHG emissions mtons CO2e
39.177739,-122.237563,GHG emissions mtons CO2e
37.919479,-121.951543,GHG emissions mtons CO2e
41.749903,-123.980998,GHG emissions mtons CO2e
38.785532,-120.534398,GHG emissions mtons CO2e
36.761006,-119.655019,GHG emissions mtons CO2e
39.602546,-122.4017,GHG emissions mtons CO2e
40.706673,-123.925818,GHG emissions mtons CO2e
33.040814,-115.3554,GHG emissions mtons CO2e
36.561977,-117.403927,GHG emissions mtons CO2e
35.346629,-118.729506,GHG emissions mtons CO2e
36.072478,-119.81553,GHG emissions mtons CO2e
39.094802,-122.746757,GHG emissions mtons CO2e
40.721086,-120.629952,GHG emissions mtons CO2e
