county_state_name,population,Emissions_per_person
"Kiowa County, OK",9239,3.7099253165927046
"Jersey County, IL",22441,3.709371240140814
"Pike County, MO",18475,3.708741542625169
"Mercer County, WV",61476,3.7040308413039233
"Livingston County, MO",15057,3.696885169688517
"New Kent County, VA",20051,3.692484165378285
"Grundy County, MO",10231,3.68722510018571
"Goochland County, VA",21979,3.6778288366167704
"Logan County, NE",830,3.6771084337349396
"Gloucester County, VA",37021,3.676913103373761
"Marion County, IL",38503,3.6653507518894632
"Harlan County, KY",28031,3.664549962541472
"Harrison County, MO",8649,3.66273557636721
"Shannon County, MO",8256,3.6626695736434107
"Harmon County, OK",2813,3.6626377532883043
"Clay County, IL",13466,3.6479281152532304
"Barton County, MO",12075,3.647453416149068
"Norton city, VA",3978,3.6435394670688788
"Boone County, NE",5353,3.642069867364095
"Grant County, OK",4497,3.6373137647320437
"Nelson County, VA",14831,3.6365046187040657
"Hamilton County, NE",9118,3.6356657161658257
"Jasper County, IL",9592,3.630838198498749
"Trigg County, KY",14267,3.613303427490012
"Boone County, MO",172773,3.6130934810415978
"Moody County, SD",6445,3.6116369278510474
"Kearney County, NE",6548,3.611331704337202
"Putnam County, MO",4877,3.610621283575969
"Meigs County, TN",11804,3.610555743815656
"Ballard County, KY",8216,3.6066212268743914
"Moore County, TN",6314,3.603420969274628
"Lawrence County, AL",33433,3.603236323393055
"Sheridan County, NE",5259,3.599733789693858
"Texas County, MO",25690,3.5964188400155703
"Marion County, TX",10191,3.5920910607398686
"Henry County, VA",52209,3.590683598613266
"Mason County, IL",13931,3.5902663125403778
"Owen County, IN",21038,3.590217701302405
"Schuyler County, IL",7205,3.5879250520471895
"Sullivan County, TN",156644,3.585091034447537
"Clay County, IN",26568,3.5826558265582658
"Pulaski County, IL",5792,3.5775207182320443
"Pushmataha County, OK",11149,3.5748497623105213
"Fayette County, TN",39071,3.5741854572445035
"Polk County, MO",31113,3.571111753929226
"Perry County, KY",27818,3.568516787691423
"Audrain County, MO",25868,3.565254368331529
"Jackson County, MN",10163,3.5601692413657386
"Lyon County, IA",11730,3.5595055413469736
"Harlan County, NE",3465,3.557287157287157
"Lawrence County, MO",38204,3.556538582347398
"Jennings County, IN",28023,3.5564357848909824
"Menard County, IL",12576,3.5555820610687023
"Randolph County, MO",25081,3.5542841194529724
"Mason County, WV",27060,3.547708795269771
"Macoupin County, IL",46482,3.5471580396712707
"Nance County, NE",3607,3.546437482672581
"Greeley County, NE",2447,3.546383326522272
"Trimble County, KY",8751,3.542452291166724
"Scott County, IL",5169,3.5414973882762624
"Cottonwood County, MN",11557,3.5402786190187765
"Marion County, MO",28858,3.54016217340079
"Lauderdale County, AL",92641,3.5392752668904697
"Boone County, WV",23645,3.5366039331782617
"Garrard County, KY",17051,3.5331652102515982
"Garden County, NE",1930,3.5331606217616582
"Laurel County, KY",59950,3.5323269391159298
"Cannon County, TN",13855,3.5309274630097436
"Webster County, NE",3665,3.528240109140518
"Carlisle County, KY",4954,3.526645135244247
"Appomattox County, VA",15314,3.5259239911192375
"Cass County, MO",101324,3.525867514113142
"McIntosh County, ND",2737,3.5221044939715016
"Washita County, OK",11626,3.521761568897299
"McHenry County, ND",5912,3.519451962110961
"Knox County, NE",8551,3.516079990644369
"Macon County, MO",15399,3.515552957984285
"Fluvanna County, VA",26046,3.5137065192351993
"Sangamon County, IL",198639,3.51133463217193
"Tillman County, OK",7611,3.507029299697806
"Brown County, IN",14965,3.506715669896425
"Edmonson County, KY",12086,3.5059573059738542
"Lake County, SD",12331,3.503689887275971
"Bedford County, VA",76933,3.501917252674405
"Johnson County, WY",8572,3.499066728884741
"Red River Parish, LA",8757,3.498458376156218
"Rockcastle County, KY",16893,3.497602557272243
"Logan County, ND",1939,3.4971634863331613
"Loudon County, TN",50637,3.4892469933052905
"Patrick County, VA",18180,3.489163916391639
"Noble County, OK",11470,3.488666085440279
"Butler County, KY",12828,3.487137511693171
"Edmunds County, SD",4000,3.487
"Coffee County, TN",53808,3.4800773119238775
"Shelby County, IL",22011,3.479623824451411
"Nuckolls County, NE",4352,3.4779411764705883
"Pettis County, MO",42193,3.4776858720640864
"Delaware County, OK",41433,3.4717254362464702
"Jefferson County, OK",6280,3.470700636942675
"Lincoln County, GA",7712,3.4696576763485476
"Switzerland County, IN",10484,3.4690957649752003
"St. Clair County, IL",265569,3.4689365099089127
"Jefferson County, IN",32482,3.467397327750754
"Floyd County, KY",38144,3.465892407718121
"Ransom County, ND",5457,3.4641744548286604
"Lawrence County, IN",45696,3.4635854341736696
"Stephens County, OK",44631,3.456252380632296
"Morris County, TX",12653,3.455465107089228
"Custer County, NE",10784,3.455396884272997
"Madison County, IL",266759,3.4552498697326053
"Perry County, IL",21595,3.453577216948368
"Webster County, MS",9922,3.452428945777061
"Putnam County, WV",56743,3.4509983610313166
"Edgar County, IL",17828,3.450919901278887
"Brown County, NE",3022,3.4490403706154864
"Leslie County, KY",10869,3.448891342349802
"Jackson County, IL",59188,3.448536865580861
"Rolette County, ND",14607,3.440952967755186
"Jones County, SD",767,3.440677966101695
"Franklin County, VA",56230,3.4399430908767563
"Martin County, IN",10218,3.438246232139362
"Robertson County, KY",2191,3.4372432679141944
"Choctaw County, OK",15051,3.436914490731513
"Jasper County, MO",117376,3.436111300436205
"Bracken County, KY",8404,3.434435982865302
"Newton County, MO",58741,3.4336494101224018
"Colbert County, AL",54377,3.427533699909888
"Marshall County, MS",36196,3.42695325450326
"Caldwell County, KY",12758,3.424831478288133
"St. Louis County, MO",1000560,3.4242933956984087
"Mercer County, KY",21411,3.423894259959834
"Dickey County, ND",5160,3.4232558139534883
"Gregory County, SD",4217,3.4223381550865546
"Polk County, TN",16697,3.4212732826256214
"Baker County, GA",3250,3.420923076923077
"Anderson County, KY",21867,3.4208167558421367
"Piatt County, IL",16469,3.414597121865323
"Woodson County, KS",3186,3.413370998116761
"Cass County, IL",13068,3.4131466176920724
"Morgan County, IN",69504,3.412724447513812
"Monroe County, WV",13496,3.4125666864256075
"Day County, SD",5588,3.4123120973514673
"Fulton County, PA",14653,3.4103596533133147
"Scotland County, MO",4893,3.406499080318823
"Mercer County, MO",3702,3.4054565099945977
"Obion County, TN",30900,3.4045307443365695
"Cherokee County, AL",25897,3.4027879677182686
"McDonald County, MO",22720,3.401980633802817
